127.0.0.1 - - [13/Feb/2026:09:10:58 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:10:58 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:10:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:11:50 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:12:47 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:12:48 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:12:50 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:12:58 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:13:05 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:13:15 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:13:32 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:34 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:35 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:41 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:42 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:45 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:46 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:46 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:57 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:58 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:58 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:16:59 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:17:00 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:17:01 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:17:01 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:17:02 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:17:19 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:17:30 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:27:15 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:27:26 +0900] "GET /HtmlTest/ex07_p.html HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:31:13 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:31:44 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:33:27 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:33:28 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:34:45 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:44:11 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:45:11 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:46:45 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [13/Feb/2026:09:46:47 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:03:48 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:03:49 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:04:00 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:05:07 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:05:16 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:14 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:24 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:24 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:25 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:25 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:25 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:26 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:26 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:26 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:27 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:28 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:28 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:28 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:29 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:29 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:06:31 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:07 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:09 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:10 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:13 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:28 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:48 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [13/Feb/2026:10:07:49 +0900] "GET /HtmlTest/ex08_hr.html HTTP/1.1" 304 -
